City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
84,dhemaji,27.4833,94.5833,73.4,60,40,6.91,IN,1612675049
85,kashary,49.04,41.0056,14.88,82,60,12.82,RU,1612675049
86,esperance,-33.8667,121.9,64.4,88,90,19.57,AU,1612674997
87,noumea,-22.2763,166.4572,82.99,88,75,8.05,NC,1612675050
88,hambantota,6.1241,81.1185,84.2,84,0,10.36,LK,1612674956
89,kodiak,57.79,-152.4072,32.0,59,1,8.05,US,1612674969
90,vestmannaeyjar,63.4427,-20.2734,36.54,80,46,20.42,IS,1612675050
91,kocevje,45.6433,14.8633,42.01,100,85,2.53,SI,1612675051
92,florida,28.7505,-82.5001,73.4,88,75,6.91,US,1612674913
93,atuona,-9.8,-139.0333,79.57,79,90,23.96,PF,1612674753
94,westport,41.1415,-73.3579,33.01,64,1,3.44,US,1612675026
95,narsaq,60.9167,-46.05,44.6,29,75,20.71,GL,1612675017
96,airai,-8.9266,125.4092,72.52,84,62,4.54,TL,1612674980
97,weligama,5.9667,80.4167,85.03,64,83,0.89,LK,1612675053
98,punta arenas,-53.15,-70.9167,48.2,76,75,14.97,CL,1612674748
99,qaanaaq,77.484,-69.3632,12.74,90,100,2.84,GL,1612674949
100,nanortalik,60.1432,-45.2371,27.46,94,99,3.56,GL,1612675033
101,koulikoro,14.0,-7.75,69.21,27,96,11.05,ML,1612675054
102,meadow lake,34.8014,-106.5436,37.4,20,1,6.91,US,1612675054
103,voh,-20.9667,164.7,82.35,65,56,6.35,NC,1612675054
104,ongandjera,-17.8833,15.0667,70.57,46,57,7.07,NA,1612675022
105,xuzhou,34.1805,117.1571,51.93,46,45,15.23,CN,1612675055
106,tiznit,29.5833,-9.5,47.19,90,53,11.45,MA,1612675056
107,arraial do cabo,-22.9661,-42.0278,72.05,82,100,8.9,BR,1612674952
108,torbay,47.6666,-52.7314,37.0,93,40,24.16,CA,1612674973
109,kenora,49.8167,-94.4337,-22.0,69,90,11.5,CA,1612675057
110,port blair,11.6667,92.75,83.61,64,0,12.66,IN,1612674955
111,dikson,73.5069,80.5464,-28.21,86,91,10.02,RU,1612674747
112,mahebourg,-20.4081,57.7,86.0,70,40,10.36,MU,1612674957
113,ahipara,-35.1667,173.1667,67.69,71,97,1.39,NZ,1612674967
114,gravdal,68.1214,13.5031,33.31,85,71,15.5,NO,1612675060
115,gamba,-2.65,10.0,77.63,89,98,6.2,GA,1612675060
116,iqaluit,63.7506,-68.5145,24.8,68,75,6.91,CA,1612674840
117,tadine,-21.55,167.8833,80.89,73,31,2.82,NC,1612675061
118,namtsy,62.7161,129.6658,-34.6,67,95,6.71,RU,1612675061
119,puerto carreno,6.189,-67.4859,80.42,58,100,8.59,CO,1612675028
120,badarpur,24.9,92.6,78.85,31,2,3.33,IN,1612675061
121,yamada,39.4667,141.95,40.37,79,75,4.27,JP,1612675062
122,geraldton,-28.7667,114.6,75.2,69,90,24.16,AU,1612674921
123,gold coast,-28.0,153.4333,88.0,69,75,10.36,AU,1612674881
124,huayang,34.4155,109.9939,45.54,47,100,4.03,CN,1612675063
125,inverell,-29.7833,151.1167,91.99,43,25,3.0,AU,1612674967
126,high level,58.5169,-117.136,-36.4,74,1,2.06,CA,1612675064
127,windhoek,-22.5594,17.0832,64.99,88,0,4.61,NA,1612675065
128,acapulco,16.8634,-99.8901,74.82,77,0,3.42,MX,1612675010
129,bethel,41.3712,-73.414,28.0,79,1,2.53,US,1612674831
130,zaranj,30.9667,61.8833,48.2,29,0,6.91,AF,1612675067
131,manado,1.487,124.8455,86.0,74,40,9.22,ID,1612674879
132,pevek,69.7008,170.3133,-9.6,87,0,3.02,RU,1612674942
133,ostrovnoy,68.0531,39.5131,6.87,92,100,9.86,RU,1612674981
134,diu,20.7141,70.9822,77.04,27,0,19.69,IN,1612675068
135,balkhash,46.844,74.9804,28.4,93,40,15.66,KZ,1612675068
136,havelock,34.8791,-76.9013,45.0,76,90,9.22,US,1612674981
137,natchez,31.5604,-91.4032,50.0,93,90,8.05,US,1612675069
138,katakwi,1.8911,33.9661,74.32,40,37,1.9,UG,1612675069
139,umm kaddadah,13.6017,26.6876,54.37,40,1,13.15,SD,1612675069
140,longyearbyen,78.2186,15.6401,15.8,79,75,12.66,SJ,1612674905
141,port alfred,-33.5906,26.891,72.0,77,33,5.99,ZA,1612674940
142,bathsheba,13.2167,-59.5167,78.8,65,40,20.71,BB,1612674940
143,rocha,-34.4833,-54.3333,62.31,93,2,3.56,UY,1612675032
144,loandjili,-4.7561,11.8578,78.8,94,75,4.61,CG,1612675071
145,kasamwa,-2.85,32.4333,68.05,83,99,2.24,TZ,1612675072
146,puerto lempira,15.2667,-83.7667,74.46,89,1,9.08,HN,1612675072
147,elizabeth city,36.2946,-76.2511,44.6,65,90,5.75,US,1612674865
148,marawi,7.9986,124.2928,80.01,88,89,3.0,PH,1612674972
149,yarim,14.298,44.3779,50.47,57,0,6.08,YE,1612675075
150,samarai,-10.6167,150.6667,86.04,69,61,2.75,PG,1612675034
151,mahibadhoo,3.7833,72.9667,81.28,75,62,13.04,MV,1612675076
152,saharanpur,29.9667,77.55,63.39,38,0,5.32,IN,1612675076
153,la ronge,55.1001,-105.2842,-31.0,61,20,4.61,CA,1612674978
154,souillac,-20.5167,57.5167,86.0,70,40,10.36,MU,1612675003
155,porto novo,6.4965,2.6036,82.4,89,40,3.44,BJ,1612675077
156,ballina,-28.8667,153.5667,87.8,65,67,11.5,AU,1612674916
157,paragominas,-2.9667,-47.4833,72.1,94,69,1.9,BR,1612675078
158,hilo,19.7297,-155.09,73.4,60,75,4.61,US,1612674970
159,corrales,35.2378,-106.6067,39.99,24,0,7.0,US,1612675078
160,georgetown,5.4112,100.3354,89.6,45,20,6.91,MY,1612674829
161,yar-sale,66.8333,70.8333,-21.21,87,100,18.19,RU,1612675079
162,bereda,43.2686,-7.5406,35.01,100,76,5.01,ES,1612675079
163,flinders,-34.5833,150.8552,78.01,68,90,14.97,AU,1612674974
164,ponta do sol,32.6667,-17.1,54.0,65,35,5.01,PT,1612674938
165,olinda,-8.0089,-34.8553,78.8,73,40,3.44,BR,1612674976
166,vanimo,-2.6741,141.3028,80.73,85,99,9.33,PG,1612674992
167,merrill,45.1805,-89.6835,-11.2,64,1,4.61,US,1612675081
168,havre-saint-pierre,50.2334,-63.5986,26.6,93,90,35.68,CA,1612674958
169,southbridge,42.0751,-72.0334,25.0,69,72,1.97,US,1612675082
170,gap,44.6667,6.0,41.0,88,100,4.52,FR,1612675082
171,puerto ayora,-0.7393,-90.3518,77.0,94,69,6.62,EC,1612674637
172,jega,12.2175,4.3792,68.99,23,29,10.71,NG,1612675082
173,joshimath,30.5667,79.5667,60.91,28,0,4.14,IN,1612674910
174,batemans bay,-35.7167,150.1833,73.99,67,31,1.99,AU,1612674944
175,gesztely,48.1,20.9667,26.6,80,90,16.11,HU,1612675083
176,tete,-16.1564,33.5867,82.4,83,40,2.93,MZ,1612675084
177,north platte,41.1239,-100.7654,8.6,78,90,13.8,US,1612675084
178,diamond harbour,22.1917,88.1847,73.4,60,20,9.22,IN,1612675084
179,bulembu,-25.9667,31.1333,73.99,94,75,1.81,SZ,1612675085
180,opuwo,-18.0607,13.84,69.73,42,92,3.27,NA,1612675085
181,jimenez,28.3333,-105.4,50.0,23,1,4.61,MX,1612675085
182,necochea,-38.5473,-58.7368,57.0,87,58,10.11,AR,1612675014
183,mar del plata,-38.0023,-57.5575,64.99,77,75,5.75,AR,1612674897
184,pinillos,8.9193,-74.4677,77.0,90,91,2.8,CO,1612674967
185,east london,-33.0153,27.9116,69.8,83,20,5.75,ZA,1612674936
186,culebra,18.303,-65.301,78.8,73,1,11.5,PR,1612675087
187,sur,22.5667,59.5289,70.41,51,0,6.87,OM,1612674850
188,charters towers,-20.1,146.2667,93.56,42,100,8.39,AU,1612675088
189,xuddur,4.1213,43.8894,70.88,72,13,19.91,SO,1612675088
190,okhotsk,59.3833,143.3,7.03,86,97,23.96,RU,1612674996
191,berlevag,70.8578,29.0864,26.24,91,100,25.14,NO,1612675089
192,grindavik,63.8424,-22.4338,32.0,64,0,16.11,IS,1612675066
